model,accuracy,auc,cv_mean,cv_std,best_params
svm,0.9824561403508771,0.9937169312169313,0.9780219780219781,0.013900121583157714,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}"
logistic_regression,0.9736842105263158,0.9957010582010581,0.9802197802197803,0.016150481820548422,"{'model__C': 0.1, 'model__solver': 'lbfgs'}"
random_forest,0.956140350877193,0.9930555555555556,0.9604395604395606,0.019159995356222755,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}"
